"","name","year","month","day","hour","lat","long","status","category","wind","pressure","ts_diameter","hu_diameter"
"1","Kate",2015,11,11,18,37.6,-58.2,"hurricane","1",65,980,379.7574,46.0312
"2","Kate",2015,11,11,12,36.2,-62.5,"hurricane","1",75,980,345.234,34.5234
"3","Kate",2015,11,11,6,35.2,-67.6,"hurricane","1",70,985,207.1404,23.0156
"4","Kate",2015,11,11,0,33.1,-71.3,"hurricane","1",65,990,161.1092,23.0156
"5","Kate",2015,11,10,18,31.2,-74,"tropical storm","0",60,993,103.5702,0
"6","Kate",2015,11,10,12,29.5,-75.4,"tropical storm","0",60,998,103.5702,0
"7","Kate",2015,11,10,6,28,-76.2,"tropical storm","0",55,1003,103.5702,0
"8","Kate",2015,11,10,0,26.4,-76.2,"tropical storm","0",50,1006,80.5546,0
"9","Kate",2015,11,9,18,25,-75.7,"tropical storm","0",45,1008,80.5546,0
"10","Kate",2015,11,9,12,24.1,-74.8,"tropical storm","0",40,1008,69.0468,0
"11","Kate",2015,11,9,6,23.4,-73.7,"tropical storm","0",35,1010,57.539,0
"12","Kate",2015,11,9,0,22.8,-72.6,"tropical depression","-1",30,1010,0,0
"13","Kate",2015,11,8,18,22.2,-71.5,"tropical depression","-1",30,1010,0,0
"14","Joaquin",2015,10,7,18,41.5,-43.3,"tropical storm","0",60,977,483.3276,0
"15","Joaquin",2015,10,7,12,41,-47.5,"tropical storm","0",60,977,471.8198,0
"16","Joaquin",2015,10,7,6,40.3,-51.5,"hurricane","1",65,977,448.8042,80.5546
"17","Joaquin",2015,10,7,0,39.6,-54.9,"hurricane","1",70,974,437.2964,86.3085
"18","Joaquin",2015,10,6,18,38.8,-58,"hurricane","1",70,974,414.2808,80.5546
"19","Joaquin",2015,10,6,12,37.9,-60.4,"hurricane","1",70,974,402.773,80.5546
"20","Joaquin",2015,10,6,6,37,-62.3,"hurricane","1",75,970,379.7574,74.8007
"21","Joaquin",2015,10,6,0,36.2,-63.6,"hurricane","1",75,967,368.2496,69.0468
"22","Joaquin",2015,10,5,18,35.3,-64.5,"hurricane","1",75,964,368.2496,69.0468
"23","Joaquin",2015,10,5,12,34.4,-65.2,"hurricane","1",75,964,356.7418,74.8007
"24","Joaquin",2015,10,5,6,33.6,-65.6,"hurricane","1",75,964,345.234,74.8007
"25","Joaquin",2015,10,5,0,32.6,-66,"hurricane","1",75,961,345.234,74.8007
"26","Joaquin",2015,10,4,18,31.6,-66.5,"hurricane","2",85,958,333.7262,80.5546
"27","Joaquin",2015,10,4,12,30.4,-67.2,"hurricane","2",95,956,322.2184,92.0624
"28","Joaquin",2015,10,4,6,28.9,-68.3,"hurricane","3",105,949,333.7262,92.0624
"29","Joaquin",2015,10,4,0,27.4,-69.5,"hurricane","4",115,941,333.7262,97.8163
"30","Joaquin",2015,10,3,18,26.3,-71,"hurricane","4",130,934,333.7262,109.3241
"31","Joaquin",2015,10,3,12,25.4,-72.6,"hurricane","4",135,934,333.7262,109.3241
"32","Joaquin",2015,10,3,6,24.8,-73.6,"hurricane","4",120,945,345.234,109.3241
"33","Joaquin",2015,10,3,0,24.3,-74.3,"hurricane","4",115,943,345.234,109.3241
"34","Joaquin",2015,10,2,21,24.1,-74.5,"hurricane","3",110,942,345.234,109.3241
"35","Joaquin",2015,10,2,18,23.8,-74.7,"hurricane","3",110,941,345.234,109.3241
"36","Joaquin",2015,10,2,16,23.6,-74.8,"hurricane","3",110,940,345.234,103.5702
"37","Joaquin",2015,10,2,12,23.4,-74.8,"hurricane","4",115,937,345.234,103.5702
"38","Joaquin",2015,10,2,6,23,-74.7,"hurricane","4",120,935,345.234,97.8163
"39","Joaquin",2015,10,2,0,22.9,-74.4,"hurricane","4",120,931,333.7262,92.0624
"40","Joaquin",2015,10,1,18,23,-74.2,"hurricane","4",115,936,310.7106,86.3085
"41","Joaquin",2015,10,1,12,23.1,-73.7,"hurricane","4",115,942,299.2028,74.8007
"42","Joaquin",2015,10,1,6,23.5,-73.3,"hurricane","3",110,947,276.1872,63.2929
"43","Joaquin",2015,10,1,0,23.9,-72.9,"hurricane","3",100,951,253.1716,57.539
"44","Joaquin",2015,9,30,18,24.4,-72.5,"hurricane","1",80,961,230.156,57.539
"45","Joaquin",2015,9,30,12,24.9,-72.2,"hurricane","1",70,971,195.6326,57.539
"46","Joaquin",2015,9,30,6,25.4,-71.8,"hurricane","1",65,978,149.6014,57.539
